id,name,author,regNumber,invNumber,gikNumber,type,statusId,nativeId,date_created,typology,description,technologies,image,connectedness
5c3e1b8e93fa687ca4c2e904,"""Орнамент"", из альбома ""Рисование  учеников Череповецкой учительской семинарии"". Учебный рисунок",Махаев А.,10652114,,ЧерМО-3088/45,0,6,10768374,1898 г.,графика,,"бумага, карандаш",http://goskatalog.ru/muzfo-imaginator/rest/images/original/7997920,0.0
5c3e09e693fa687ca4c3af41,"Эскиз мужского костюма. Степан. Финал. ""Поминальная молитва"" (Постановка 1992 г. Режиссёр Захаров М.А. Режисёр Махаев Ю.А. Сценография Шейнцис О.А.). Израиль, Тель-Авив. Камерный театр",Комолова Валентина Александровна,14584965,ГКС 3452,ГЦТМ КП 323950,0,6,14715610,1991 г. 1991,графика,,"Бумага коричневая на бумаге, графитный карандаш, черная шариковая ручка, белила, гуашь.",http://goskatalog.ru/muzfo-imaginator/rest/images/original/13398895,0.0
5c3e09e693fa687ca4c3b01f,"Эскиз мужского костюма. Урядник. I акт. Начало. ""Поминальная молитва"" (Постановка 1992 г. Режиссёр Захаров М.А.,  Махаев Ю.А. Сценография Шейнцис О.А.). Израиль, Тель-Авив. Камерный театр",Комолова Валентина Александровна,14584937,ГКС 3455,ГЦТМ КП 323953,0,6,14715638,1991 г. Постановка 1992 г. 1991,графика,,"Бумага коричневая на бумаге, графитный карандаш, черная шариковая ручка, белила, гуашь.",http://goskatalog.ru/muzfo-imaginator/rest/images/original/13398923,0.0
5c3e09e693fa687ca4c3b12b,"Эскиз мужского костюма. Федя. I акт. ""Поминальная молитва"" (Постановка 1992 г. Режиссёр Захаров М.А. Режиссёр Махаев Ю.А. Сценография Шейнцис О.А.). Израиль, Тель-Авив. Камерный театр",Комолова Валентина Александровна,14584905,ГКС 3450,ГЦТМ КП 323948,0,6,14715670,1991 г. Постановка 1992 г. 1991,графика,,"Бумага коричневая на бумаге, графитный карандаш, черная шариковая ручка, белила.",http://goskatalog.ru/muzfo-imaginator/rest/images/original/13398955,0.0
5c3e09ea93fa687ca4c401c2,"Эскиз мужского костюма. Перчик. ""Поминальная молитва"" (Постановка 1992 г. Режиссёр Захаров М.А. Режисёр Махаев Ю.А. Сценография Шейнцис О.А.). Израиль, Тель-Авив. Камерный театр",Комолова Валентина Александровна,14589727,ГКС 3454,ГЦТМ КП 323952,0,6,14719710,1991 г. Постановка 1992 г. 1991,графика,,"Бумага коричневая на бумаге, графитный карандаш, черная шариковая ручка, белила, акварель, цветные карандаши",http://goskatalog.ru/muzfo-imaginator/rest/images/original/13403179,0.0
5c3e09ea93fa687ca4c40255,"Эскиз женского костюма. Годл. ""Поминальная молитва"" (Постановка 1992 г. Режиссёр Захаров М.А. Режисёр Махаев Ю.А. Сценография Шейнцис О.А.). Израиль, Тель-Авив. Камерный театр",Комолова Валентина Александровна,14589692,ГКС 3451,ГЦТМ КП 323949,0,6,14719750,1991 г. Постановка 1992 г. 1991,графика,,"Бумага коричневая на бумаге, графитный карандаш, черная шариковая ручка, белила, акварель, цветные карандаши",http://goskatalog.ru/muzfo-imaginator/rest/images/original/13403224,0.0
5f99e3061c266ee13d47763b,"Эскиз мужского костюма. Разновесов (актёр Махаев). ""Не было ни гроша, да вдруг алтын"". Москва, Московский областной драматический театр им. А.Н. Островского",Талдыкин Александр Алексеевич,24926725,,ГЦТМ КП 297486,0,6,25077466,Постановка 1950-е годы. 1950-1959,графика,,"бумага, графитный карандаш, акварель, гуашь",http://goskatalog.ru/muzfo-imaginator/rest/images/original/27806694,0.0
629927c4c7f00e02909a9837,"(Россия. Москва, Кусково.) Генеральный проспект села Кусково, принадлежащего Его Сиятельству графу П. Б. Шереметьеву на север к лабиринту представленный. Лист № 11","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071643,ГМИ СПб Инв.№-VIII-А-3701 г,ГМИ СПб 126629,0,6,36278626,1768-1780 гг.,графика,,"бумага, холст.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43439967,0.0
629927c4c7f00e02909a983a,"(Россия. Москва, Кусково.) Проспект особливой Круглой беседки на канале в конце Кусковского сада, принадлежащего Его Сиятельству графу П. Б. Шереметьеву. Лист № 6.","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071640,ГМИ СПб Инв.№-VIII-А-3705 г,ГМИ СПб 126633,0,6,36278629,1768-1780 гг.,графика,,"бумага.  офорт, резец, акварель",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43439970,0.0
629927c4c7f00e02909a983b,"(Россия. Москва, Кусково.) Проспект особливой Грота в саду села Кусково, принадлежащего Его Сиятельству графу П. Б. Шереметьеву, поставленного у Прудика. Лист № 4","П. А. Барабэ, рис. неизвестный  художник под смотрением М. И. Махаева.",36071639,ГМИ СПб Инв.№-VIII-А-3704 г,ГМИ СПб 126632,0,6,36278631,1768-1780 гг.,графика,,"бумага.  офорт, резец, акварель",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43439971,0.0
629927c4c7f00e02909a984d,"(Россия. Москва, Кусково.) Проспект особливой Голанского Домика в Кускове, принадлежащем Его Сиятельству графу П. Б. Шереметьеву. Представлен на полдень. Лист № 8","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071621,ГМИ СПб Инв.№-VIII-А-3707 г,ГМИ СПб 126635,0,6,36278649,1768-1780 гг.,графика,,"бумага.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43439990,0.0
629927c4c7f00e02909a9851,"(Россия. Москва, Кусково.) Проспект особливой беседки в Зверинце, находящимся между Кусковым и Вешняковым, принадлежащих Его Сиятельству П. Б. Шереметьеву, представлен на полдень. Лист № 5","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071617,ГМИ СПб Инв.№-VIII-А-3702 г,ГМИ СПб 126630,0,6,36278653,1768-1780 гг.,графика,,"бумага.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43439994,0.0
629927c4c7f00e02909a9853,(Россия.) Вид города Владимира от Москвы с приезда к северо-западу.,"А. Я. Колпашников, рис. М. И. Махаев 1766-1768 гг. с эскиза А. И. Свечина 1764 г.",36071615,ГМИ СПб Инв.№-VIII-А-3724 г,ГМИ СПб 126652,0,6,36278655,1769 - 1771 гг. Оттиск 1789-1802 гг.,графика,,"бумага.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43439996,0.0
629927c4c7f00e02909a985c,"(Россия. Москва, Кусково.) Проспект церкви в селе Кусково, принадлежащем Его Сиятельству графу П. Б. Шереметьеву. Лист № 7","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071606,ГМИ СПб Инв.№-VIII-А-3706 г,ГМИ СПб 126634,0,6,36278664,1768-1780 гг.,графика,,"бумага.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43440005,0.0
629927c4c7f00e02909a986b,"(Россия. Москва, Кусково.) Проспект каскада и села Вешнякова представлен на северо-восток, принадлежащий Его Сиятельству графу П. Б. Шереметьеву. Лист № 9","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071591,ГМИ СПб Инв.№-VIII-А-3708 г,ГМИ СПб 126636,0,6,36278680,1768-1780 гг.,графика,,"бумага.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43440020,0.0
629927c4c7f00e02909a9876,"(Россия. Москва, Кусково.) Проспект особливой Оранжереи в саду села Кусково, принадлежащего Его Сиятельству графу П. Б. Шереметьеву. Представлен в полдень. Лист № 12","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071580,ГМИ СПб Инв.№-VIII-А-3709 г,ГМИ СПб 126637,0,6,36278691,1768-1780 гг.,графика,,"бумага.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43440031,0.0
629927c4c7f00e02909a9877,"(Россия. Москва, Кусково.) Проспект особливой Эрмитажа в саду села Кусково, принадлежащего Его Сиятельству графу П. Б. Шереметьеву, поставленного в середине осьми куртин. Лист № 3","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071579,ГМИ СПб Инв.№-VIII-А-3703 г,ГМИ СПб 126631,0,6,36278692,1768-1780 гг.,графика,,"бумага.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43440032,0.0
629927c4c7f00e02909a987b,"(Россия. Москва, Кусково.) Проспект особливой Итальянского домика в Кускове, принадлежащем Его Сиятельству графу П. Б. Шереметьеву, представлен на северо-восток. Лист № 13","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071575,ГМИ СПб Инв.№-VIII-А-3710 г,ГМИ СПб 126638,0,6,36278696,1768-1780 гг.,графика,,"бумага, холст.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43440036,0.0
629927c4c7f00e02909a987c,(Россия. Москва.) Вид Кремлевского старого дворца с Красным крыльцом и Золотой решеткой. Лист № 3,"Н. Ф. Челнаков, рис. М. И. Махаев в 1763 г.",36071574,ГМИ СПб Инв.№-VIII-А-3695 г,ГМИ СПб 126623,0,6,36278697,1763-1769 гг.,графика,,"картон.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43440037,0.0
629927c4c7f00e02909a9889,"(Россия. Москва, Кусково.) Генеральный проспект подмосковного Его Сиятельства графа П. Б. Шереметьева села Кусково от Большого пруда на полдень лицом представленного. Лист № 10.","П. Ф. Лоран, рис. неизвестный художник под смотрением М. И. Махаева.",36071561,ГМИ СПб Инв.№-VIII-А-3700 г,ГМИ СПб 126628,0,6,36278710,1768-1780 гг.,графика,,"бумага, холст.  офорт, резец",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43440050,0.0
5c3e155c93fa687ca46a5e04,Портрет Махаевой,Кокурников Владимир Алексеевич,6559032,СГ-2568,НГМ КП 47505,0,6,6772460,1980-е гг.,графика,"Портрет женщины средних лет. На голове – берет из-под которого выбиваются пышные волосы. На шее – шарф. Изображение оглавное, в фас. Глаза большие, нос прямой, губы сомкнуты.","бумага, карандаш цветной",http://goskatalog.ru/muzfo-imaginator/rest/images/original/3695147,0.0
5c3e162c93fa687ca475b225,"Эскиз костюма. Никита. ""Жестокие игры"" (Реж.-пост.: Захаров М.А. Реж.: Махаев Ю.А. Комп.: Гладков Г.И.). Москва, Московский государственный театр ""Ленком""",Шейнцис Олег Аронович,8155406,ГКС 4424,ГЦТМ  КП 327259/6,0,6,8263602,Пост. 1979 г. 1979,графика,"Изображен мужчина в рост (срезаны ноги чуть ниже колен), фронтально с небольшим поворотом вправо. Правая рука вдоль тела, левая - в кармане джинсов. Одет в синий джинсовый костюм и светлую водолазку.","бумага, тушь, перо, карандаш, акварель, темпера, лак",http://goskatalog.ru/muzfo-imaginator/rest/images/original/4449638,0.0
5c3e162c93fa687ca475b264,"Эскиз женского костюма. Нелли. ""Жестокие игры"" (Реж-пост.: Захаров М.А. Реж.: Махаев Ю.А. Комп.: Гладков Г.И.). Москва, Московский государственный театр ""Ленком""",Шейнцис Олег Аронович,8155395,ГКС 4423,ГЦТМ  КП 327259/5,0,6,8263613,Пост. 1979 г. 1979,графика,"Изображена женская фигура в рост (ноги отрезаны чуть ниже икр), в небольшом повороте влево. Руки расставлены немного напряженно вдоль тела. Лицо не прописано. Одета женщина в темное свободное платье ниже колена с широкими рукавами с манжетами и с поясом. На шее намотан белый узкий шарф.","бумага, тушь, перо, карандаш, акварель, темпера, лак",http://goskatalog.ru/muzfo-imaginator/rest/images/original/4449649,0.0
5c3e162c93fa687ca475b362,"Эскиз мужского костюма. Терентий. ""Жестокие игры"" (Пост. 1979 г. Пост.: Захаров М.А. Реж.: Махаев Ю.А. Комп.: Гладков Г.И.). Москва, Московский государственный театр ""Ленком""",Шейнцис Олег Аронович,8155318,ГКС 4422,ГЦТМ  КП 327259/4,0,6,8263692,Пост. 1979 г. 1979,графика,"Изображен мужчина в легком повороте влево почти в рост (до колен). Правая рука согнута в локте, кисть в кармане куртки, левая рука - вдоль тела. Одет в синюю куртку, коричневые брюки и белый с красным узором свитер.","бумага, тушь, перо, карандаш, акварель, темпера, лак",http://goskatalog.ru/muzfo-imaginator/rest/images/original/4449726,0.0
5c3e1b5293fa687ca4bfa534,Фотокопия. Злынка. ул. Махаевка (почта). 1912 г.,,10552751,,БОМ 6085/4,0,6,10634857,1912 г.,предметы печатной продукции,Фотографии и фотокопии с видами старого города Злынки.,,"http://goskatalog.ru/muzfo-imaginator/rest/images/original/7815332 ,http://goskatalog.ru/muzfo-imaginator/rest/images/original/7815316",0.0
5db76382825ad31acedb932a,"Библиографический указатель литературы, выпущенный Мурманской областной детско-юношеской библиотекой в честь 75-летия Мурманского областного краеведческого музея. Авторы - В.П. Махаева, Н.Г. Тарасова.",,18962119,,МОМ ОФ-21481/35,0,6,19099852,2001,предметы печатной продукции,,бумага,http://goskatalog.ru/muzfo-imaginator/rest/images/original/19493389,0.0
5db763b8825ad31acedecdf7,Программа спектакля театра им. Ленинского комсомола «Люди и птицы» по пьесе Бориса Штейна и Юрия Махаева с участием Ю.О. Колычева,,19042931,Роф-11219/194,ГЛМ КП 58849/194,0,6,19179321,17 марта 1981,предметы печатной продукции,С дарственными надписями авторов пьесы и М.А. Захарова Ю.О. Колычеву.,"ручка шариковая, печать, бумага",http://goskatalog.ru/muzfo-imaginator/rest/images/original/19588415,0.0
5e753bd51c266ee13d003bf5,"Статья  ""Мысли Н.В. Гоголя о географии"" проф. В.П. Семенов-Тян-Шанский из журнала ""Известия Государственного географического общества"" №6. 1939 года",,21429502,,МУСТШ ГИК18,0,6,21559250,1939 год,предметы печатной продукции,"Страницы журнала  ""Известия Государственного географического общества"" со статьей проф.В.П.Семенова-Тян-Шанского ""Мысли Н.В.Гоголя о географии (К130-летию его рождения). Здесь же статья ""Ледяная пещера Абогыдже"" В.Н.Махаева",печать (полиграфия,"http://goskatalog.ru/muzfo-imaginator/rest/images/original/28427956 ,http://goskatalog.ru/muzfo-imaginator/rest/images/original/28427960 ,http://goskatalog.ru/muzfo-imaginator/rest/images/original/28427962 ,http://goskatalog.ru/muzfo-imaginator/rest/images/original/28427958 ,http://goskatalog.ru/muzfo-imaginator/rest/images/original/28427952",0.0
5f99e3011c266ee13d470ef5,"Лист из газеты ""Столица С"" со статьей Виктора Махаева ""Дом и судьба"" о жизни и судьбе семьи Колмаковых.",,26658527,,МВТП 1362/7,0,6,25073303,1996 год.,предметы печатной продукции,,"бумага, печать типографская черно-белая","http://goskatalog.ru/muzfo-imaginator/rest/images/original/27800733 ,http://goskatalog.ru/muzfo-imaginator/rest/images/original/27800778",0.0
6109b2927d641f51b9fc83c3,Комплект открыток. «Александр Абдулов». Актеры советского кино,,30581624,ПеП-3,МсКМ ОФ-12766,0,6,30761210,1984 г.,предметы печатной продукции,"Комплект фотооткрыток в картонной обложке с глянцевым покрытием. Лицевая сторона оранжево-коричневого цвета, в центральной части, в белой тонкой рамке, черно-белый портрет актера Александра Абдулова. В левом верхнем углу эмблема и надпись белыми печатными буквами «Актеры советского кино», под портретом крупными печатными буквами «АЛЕКСАНДР АБДУЛОВ». На оборотной стороне печатный текст с данными издательства, в центральной части кадр из фильма. На развороте печатная статья режиссера Ю.Махаева о профессиональной деятельности А.Абдулове. В комплекте 10 черно-белых фотооткрыток с кадрами из фильмов.
1. Портрет Александра Абдулова.
2. Кадр из к/ф «Обыкновенное чудо» Мосфильм 1978 г.
3. Кадр из к/ф «Все решает мгновение» Ленфильм 1979 г.
4. Кадр из к/ф «С любимыми не расставайтесь» киностудия им. М. Горького 1980 г.
5. Кадр из к/ф « Факты минувшего дня» Мосфильм 1981 г.
6. Кадр из к/ф «Предчувствие любви» Мосфильм 1982 г.
7. Кадр из к/ф «Женщина в белом» Молдова-фильм 1982 г.
8. Кадр из к/ф «Карнавал» киностудия им. М. Горького 1984 г.
9. Кадр из к/ф «Рецепт её молодости» Мосфильм 1984 г.","фотобумага черно-белая, бумага типографская, типографская печать",http://goskatalog.ru/muzfo-imaginator/rest/images/original/35774680,0.0
6227c7721d56821b8b5ef30d,"Книга. Там у Туломы. Автор: Х. Махаев. Мурманское книжное издательство, 1978 г.",Махаев Хамзат Ибрагимович,33979261,,МОМ ОФ-16905/1,0,6,34168461,1978 г.,предметы печатной продукции,"Автор книги Хамзат Ибрагимович Махаев. Книга представляет собой социологический очерк об одном из передовых хозяйств Кольского полуострова – совхозе «Тулома». Она рассказывает о становлении коллектива и его руководителе Петре Ивановиче Кузнецове, о повседневных заботах людей своего времени и о больших переменах в селе Тулома.
           Книга издана в Мурманском книжном издательстве в 1978 году в мягком бумажном переплете, небольшого формата, объемом в 80 страниц. На форзаце в восемь строк дарственная надпись черной пастой шариковой ручки: «Мурманскому областному краеведческому музею от коллектива совхоза  «Тулома» о краткой истории начала становления колхоза, а затем совхоза «Тулома» и его людях. 08.01.1981 г.»","бумага, металл, типографская печать",http://goskatalog.ru/muzfo-imaginator/rest/images/original/40506534,0.0
62704b4107ce27069ca15df5,«Дорожные корзины». Лист № 14 из альбома рисунков корзиночных изделий и плетеной мебели. Фототипия,"Махаев, Федор Николаевич",34826277,ПИ 2962,КОМК 26262/16,0,6,35031885,1908 г.,предметы печатной продукции,"Лист № 14. На листе размещены этапы плетения дорожных корзин разного размера, под изображением: «Фототипия А.Ф. Дресслера». По нижнему полю слева указано название.","типографская печать, бумага",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43475372,0.0
62704b4107ce27069ca15df6,«26 разных корзин для конфет». Лист № 29 из альбома рисунков корзиночных изделий и плетеной мебели. Фототипия,"Махаев, Федор Николаевич",34826276,ПИ 2976,КОМК 26262/30,0,6,35031887,1908 г.,предметы печатной продукции,"Лист № 29. На листе представлены изображения 26 корзин для конфет из целлулоида, крашеного камыша, пальмовой или соломенной плетенки, мелкой плетеной соломы и др.; под изображением дано: «Фототипия А. Ф. Дресслера / Спб. Б. Подъяческая 22». По нижнему полю листа указано название издания.","бумага, типографская печать",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43475398,0.0
62704b4107ce27069ca15df7,«Образец ажурного плетения и простой загибки концов прутьев основы». Лист № 1 из альбома рисунков корзиночных изделий и плетеной мебели,"Махаев, Федор Николаевич",34826275,ПИ 2948,КОМК 26262/2,0,6,35031889,1908 г.,предметы печатной продукции,Лист № 1. На рисунке размещены приемы работ ажурного плетения и простой загибки концов основных прутьев плетения. По нижнему полю указаны название и издательство.,"типографская печать, бумага",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43475395,0.0
62704b4107ce27069ca15df8,«Образчик перевитого ажурного плетения». Лист № 8 из альбома рисунков корзиночных изделий и плетеной мебели,"Махаев, Федор Николаевич",34826274,ПИ 2956,КОМК 26262/10,0,6,35031891,1908 г.,предметы печатной продукции,"Лист № 8. На рисунке показаны способы перевитого ажурного плетения, используемого для создания корзин под конфеты. По нижнему полю листа указаны название и издательство.","типографская печать, бумага",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43475441,0.0
62704b4107ce27069ca15dfa,"«Рисунки двухместных диванов, сделанных из камыша». Лист № 62 из альбома рисунков корзиночных изделий и плетеной мебели. Фототипия","Махаев, Федор Николаевич",34826272,ПИ 3009,КОМК 26262/63,0,6,35031895,1908 г.,предметы печатной продукции,"Лист № 62. На листе представлены изображения двух двухместных диванов, изготовленных из камыша (рис. 1-2). Под изображением дано: «Фототипия А. Ф. Дресслера / Спб. Б. Подъяческая 22», ниже – название издания.","бумага, типографская печать",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43475422,0.0
62704b4107ce27069ca15dfb,«Тарелочка для хлеба. Ридикюль. Ручная корзина для провизии из пальмовых листьев и камыша». Лист № 11 из альбома рисунков корзиночных изделий и плетеной мебели. Фототипия,"Махаев, Федор Николаевич",34826271,ПИ 2959,КОМК 26262/13,0,6,35031897,1908 г.,предметы печатной продукции,"Лист № 11. На листе размещены этапы плетения тарелочки для хлеба (рис. 1-8), ридикюля (рис. 9-17), ручной корзины (рис. 18-28). По нижнему полю слева указано название.","типографская печать, бумага",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43475416,0.0
62704b4107ce27069ca15dfc,"«Три образца плетеных бордюров (каем), применяющихся как украшение для корзин под цветы, фрукты и т.п.». Лист № 2 из альбома рисунков корзиночных изделий и плетеной мебели","Махаев, Федор Николаевич",34826270,ПИ 2949,КОМК 26262/3,0,6,35031900,1908 г.,предметы печатной продукции,Лист № 2. На рисунке размещены образцы плетеных бордюров. По нижнему полю указаны название и издательство.,"типографская печать, бумага",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43475445,0.0
62704b4107ce27069ca15dfd,"«Камышовая мебель: диван, кресло и стул». Лист № 64 из альбома рисунков корзиночных изделий и плетеной мебели. Фототипия","Махаев, Федор Николаевич",34826269,ПИ 3011,КОМК 26262/65,0,6,35031902,1908 г.,предметы печатной продукции,"Лист № 64. На листе представлены изображения камышовой мебели: дивана, кресла и стула (рис. 1-3). Под изображением дано: «Фототипия А. Ф. Дресслера / Спб. Б. Подъяческая 22», ниже – название издания.","типографская печать, бумага",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43475364,0.0
62704b4107ce27069ca15dfe,«Фасонные корзины для фруктов». Лист № 13 из альбома рисунков корзиночных изделий и плетеной мебели. Фототипия,"Махаев, Федор Николаевич",34826268,ПИ 2961,КОМК 26262/15,0,6,35031904,1908 г.,предметы печатной продукции,"Лист № 13. На листе размещены этапы плетения фасонных корзин для фруктов из тонких круглых камышей и эспарту, под изображением: «Фототипия А.Ф. Дресслера». По нижнему полю слева указано название.","бумага, типографская печать",http://goskatalog.ru/muzfo-imaginator/rest/images/original/43475365,0.0
